timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1600171200,"Вторник, 15 сентября
12:00 (UTC)",,,,,,,,,,,20,747,,,27.8,,26.6,,,северный,0,,,2
1600182000,"Вторник, 15 сентября
15:00 (UTC)",,,,0,,,,,,,20,746,,,24.5,,32.4,,,северный,0,,27.8,2
1600192800,"Вторник, 15 сентября
18:00 (UTC)",,,,,,,,,,,20,746,,,16.8,,65.5,,,юго-восточный,0,,,1
1600203600,"Вторник, 15 сентября
21:00 (UTC)",,,,,,,,,,,20,747,,,15.2,,76.0,,,юго-восточный,0,,,1
1600214400,"Среда, 16 сентября
00:00 (UTC)",,,,,,,,,,,20,747,,,13.8,,78.4,,,юго-восточный,0,,,2
1600225200,"Среда, 16 сентября
03:00 (UTC)",,,,0,,,0,,,,20,746,,,12.8,,78.7,12.8,,южный,0,,,2
1600236000,"Среда, 16 сентября
06:00 (UTC)",,,,,,,,,,,20,747,,,19.9,,54.6,12.7,,юго-восточный,0,,,1
1600246800,"Среда, 16 сентября
09:00 (UTC)",,,,,,,,,,,20,747,,,25.9,,31.7,,,северо-восточный,0,,,3
1600257600,"Среда, 16 сентября
12:00 (UTC)",,,,,,,,,,,20,746,,,27.5,,29.0,,,северный,0,,,2
1600268400,"Среда, 16 сентября
15:00 (UTC)",,,,0,,,,,,,20,745,,,24.4,,37.6,,,северо-восточный,0,,27.7,1
