timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1597147200,"Вторник, 11 августа
12:00 (UTC)",,,,,1,,,,,,50,698,,,24.9,,31.2,,,,,7,,26.7,0.0
1597158000,"Вторник, 11 августа
15:00 (UTC)",,,,,,,,,,,10,699,,,17.2,,74.8,,,,,5,,,0.0
1597168800,"Вторник, 11 августа
18:00 (UTC)",,,,,,,,,,,10,699,,,15.2,,81.7,,,,,4,,,0.0
1597179600,"Вторник, 11 августа
21:00 (UTC)",,,,,,,,,,,10,700,,,13.2,,88.3,,,,,5,,,0.0
1597190400,"Среда, 12 августа
00:00 (UTC)",,,,,0,,,,1,,50,700,,,13.4,,84.8,12.4,,,,2,,,0.0
1597201200,"Среда, 12 августа
03:00 (UTC)",,,,,,,,,,,50,700,,,20.5,,59.3,,,,северо-восточный,2,,,1.0
1597212000,"Среда, 12 августа
06:00 (UTC)",,,,,,,,,,,50,699,,,25.2,,40.4,,,,северо-западный,5,,,1.0
1597222800,"Среда, 12 августа
09:00 (UTC)",,,,,,,,,,,50,698,,,28.2,,33.0,,,,,7,,,0.0
1597233600,"Среда, 12 августа
12:00 (UTC)",,,,,0,,,,,,50,698,,,26.4,,33.6,,,,западный,7,,28.5,2.0
1597244400,"Среда, 12 августа
15:00 (UTC)",,,,,,,,,,,10,698,,,18.7,,73.2,,,,,5,,,0.0
1597255200,"Среда, 12 августа
18:00 (UTC)",True,,,,,,,,,,10,699,,,16.8,,78.8,,,,,7,,,0.0
1597266000,"Среда, 12 августа
21:00 (UTC)",,,,,,,,,,,10,699,,,16.8,,78.8,,,,северо-восточный,9,True,,1.0
1597276800,"Четверг, 13 августа
00:00 (UTC)",,,,,0.5,,,,0.5,,50,700,,,15.8,,82.9,15.0,,True,,9,,,0.0
1597287600,"Четверг, 13 августа
03:00 (UTC)",,,,,,,,,,,50,700,,,21.1,,60.2,,,,,4,,,0.0
1597298400,"Четверг, 13 августа
06:00 (UTC)",,,,,,,,,,,50,699,,,24.7,,46.9,,,,западный,4,,,1.0
1597309200,"Четверг, 13 августа
09:00 (UTC)",,,,,,,,,,,50,697,,,27.2,,37.1,,,,северо-восточный,7,,,1.0
1597320000,"Четверг, 13 августа
12:00 (UTC)",,,,,0,,,,,,50,698,,,24.9,,41.1,,,,юго-западный,9,,27.5,1.0
1597330800,"Четверг, 13 августа
15:00 (UTC)",,,,,,,,,,,10,699,,,19.2,,61.8,,,,,2,,,0.0
