timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый,Туман (с отложением изморози). Небо не видно
1590796800,"Суббота, 30 мая
00:00 (UTC)",,6.0,,,,,,,,77.7,,,юго-восточный,,,4.0,,,,,,,,10,745,,,12.7,,,,,2.0,,,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,6.0,,,,,,,,66.8,12.4,,юго-восточный,,,3.0,,0,,0,,,,10,744,,,16.6,,,,,2.0,,,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,8.0,,,,,,,,50.9,,,юго-восточный,,,6.0,,,,,,,,20,743,,,21.9,,,,,2.0,,,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,9.0,,,,,,,,44.0,,,восточный,,,5.0,,,,,,,,20,742,,,25.1,,,,,2.0,,,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,9.0,,,,,,,,41.5,,,юго-восточный,,,4.0,,,,,,,,20,741,,,25.2,,,,,9.0,,,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,8.0,,,,,,,,56.7,,,юго-восточный,,26.6,3.0,,0,,,,,,10,740,,,22.4,,,,,10.0,,,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,5.0,,,True,,,,,78.1,,,восточный,,,2.0,,,,,,,,10,740,,,18.7,,,,,10.0,,,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,6.0,,,,,,,,91.5,,,западный,,,3.0,,,,,,True,,4,740,,,16.9,,,,,10.0,,,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,7.0,,,,,,,,90.2,,,западный,,,5.0,,,,,,True,,4,739,,,15.9,,,,,9.0,,,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,9.0,,,,,,,,86.7,14.7,,западный,,,4.0,,0.6,,0.6,,True,,4,739,,,14.8,,,,,10.0,,,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,9.0,,,,,,,,68.5,,,западный,,,5.0,,,,,,,,10,738,,,18.3,,,,,9.0,,,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,11.0,,,,,,,,53.9,,,западный,,,7.0,,,,,,,,10,738,,,21.1,,,,,9.0,,,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",True,11.0,,,,,,,,68.8,,,юго-западный,,,8.0,,,,,,,,4,737,,,17.6,,,,,10.0,,,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,13.0,,,,,,,True,71.6,,,западный,,22.3,5.0,,7,,,,,,10,736,,,17.7,,,,,9.0,,,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,5.0,,,,,,,,83.2,,,юго-западный,,,4.0,,,,,,,,10,737,,,14.1,,,,True,10.0,,,
